id	projet	hôte	statut
P29	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Bromus	Sélectionné
CHRF	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Lolium	Sélectionné
CHW	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Lolium	Sélectionné
FH	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Lolium	Sélectionné
GG11	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Lolium	Sélectionné
HO	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Lolium	Sélectionné
LpKY97	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Lolium	Sélectionné
PgKY	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Lolium	Sélectionné
PGPA	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Lolium	Sélectionné
PL2-1	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Lolium	Sélectionné
PL3-1	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Lolium	Sélectionné
Pg1213-22	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Festuca 	Sélectionné
TF05-1	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Festuca 	Sélectionné
IB33	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Rice	Sélectionné
FR13	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Rice	Sélectionné
GY11	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Rice	Sélectionné
IA1	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Rice	Sélectionné
IB49	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Rice	Sélectionné
IC17	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Rice	Sélectionné
IE1K	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Rice	Sélectionné
INA168	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Rice	Sélectionné
KEN53-33	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Rice	Sélectionné
ML33	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Rice	Sélectionné
P131	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Rice	Sélectionné
Y34	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Rice	Sélectionné
P-2	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Rice	Sélectionné
PH0014-rn	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Rice	Sélectionné
TH3	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Rice	Sélectionné
87-120	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Rice	Sélectionné
TH0012-rn	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Hordeum 	Sélectionné
TH0016	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Hordeum 	Sélectionné
Arcadia	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Setaria	Sélectionné
US0071	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Setaria	Sélectionné
GrF52	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Setaria	Sélectionné
KANSV1-4-1	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Setaria	Sélectionné
SA05-43	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Setaria	Sélectionné
Sv9610	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Setaria	Sélectionné
Sv9623	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Setaria	Sélectionné
GFSI1-7-2	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Setaria	Sélectionné
B51	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Eleusine 	Sélectionné
BR62	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Eleusine 	Sélectionné
CD156	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Eleusine 	Sélectionné
EI9411	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Eleusine 	Sélectionné
EI9064	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Eleusine 	Sélectionné
G22	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Eleusine 	Sélectionné
Z2-1	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Eleusine 	Sélectionné
PH42	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Eleusine 	Sélectionné
SSFL02	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Stenotaphrum 	Sélectionné
SSFL14-3	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Stenotaphrum 	Sélectionné
G17	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Eragrostis 	Sélectionné
Br58	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Avena 	Sélectionné
Bd8401	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Brachiaria 	Sélectionné
Bm88324	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Brachiaria 	Sélectionné
PM1	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Pennisetum 	Sélectionné
BR29	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Digitaria 	Sélectionné
Dig41	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Digitaria 	Sélectionné
DsLIZ	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Digitaria 	Sélectionné
VO107	<a href='http://mbio.asm.org/content/9/1/e01219-17' target='_blank'>Mbio</a>	Digitaria 	Sélectionné
